District,year,Season,temperature,temperature_max,temperature_min,humidity,rainfall
Kancheepuram,2025,Kharif,29.6,39.8,23.5,65.6,496.0
Kancheepuram,2025,Rabi,25.5,35.8,18.0,77.4,636.0
Kancheepuram,2025,Summer,30.4,41.0,21.0,65.0,141.0
Kanyakumari,2020,Kharif,27.2,34.5,23.5,80.6,425.0
Kanyakumari,2020,Rabi,27.1,34.3,20.5,72.0,301.0
Kanyakumari,2020,Summer,28.6,35.8,22.9,75.2,139.0
Kanyakumari,2021,Kharif,27.1,34.3,23.4,79.6,266.0
Kanyakumari,2021,Rabi,26.4,34.2,22.1,76.3,750.0
Kanyakumari,2021,Summer,28.0,37.1,22.0,75.6,255.0
Kanyakumari,2022,Kharif,26.9,35.0,22.2,78.5,311.0
Kanyakumari,2022,Rabi,26.5,33.7,21.1,75.2,672.0
Kanyakumari,2022,Summer,27.9,35.5,22.5,75.4,260.0
Kanyakumari,2023,Kharif,27.8,36.0,22.8,76.1,248.0
Kanyakumari,2023,Rabi,26.5,34.0,21.9,75.1,1178.0
Kanyakumari,2023,Summer,28.7,36.5,23.3,72.9,151.0
Kanyakumari,2024,Kharif,27.1,34.2,23.8,80.7,357.0
Kanyakumari,2024,Rabi,27.3,34.8,21.8,73.3,536.0
Kanyakumari,2024,Summer,29.0,36.3,21.4,74.2,348.0
Kanyakumari,2025,Kharif,27.3,36.8,22.8,76.9,280.0
Kanyakumari,2025,Rabi,27.0,35.8,20.1,70.6,570.0
Kanyakumari,2025,Summer,28.5,36.8,23.0,73.7,248.0
Karur,2020,Kharif,28.8,39.3,23.4,66.6,452.0
Karur,2020,Rabi,26.9,38.0,18.6,67.1,435.0
Karur,2020,Summer,31.5,41.2,22.4,53.8,66.0
Karur,2021,Kharif,28.9,39.0,22.6,65.0,325.0
Karur,2021,Rabi,25.4,37.3,17.8,76.4,758.0
Karur,2021,Summer,30.4,42.0,19.5,56.6,98.0
Karur,2022,Kharif,28.4,39.8,22.5,67.2,426.0
Karur,2022,Rabi,26.1,36.7,18.7,70.8,512.0
Karur,2022,Summer,30.2,41.6,20.1,57.8,180.0
Karur,2023,Kharif,29.8,40.6,23.5,62.2,331.0
Karur,2023,Rabi,26.6,39.8,17.8,67.6,384.0
Karur,2023,Summer,30.0,41.1,19.1,59.0,268.0
Karur,2024,Kharif,29.0,39.0,23.0,66.5,419.0
Karur,2024,Rabi,26.8,38.4,19.5,72.8,654.0
Karur,2024,Summer,31.6,44.5,22.2,55.2,292.0
Karur,2025,Kharif,28.8,38.3,23.6,64.2,194.0
Karur,2025,Rabi,26.0,37.3,17.7,72.0,383.0
Karur,2025,Summer,30.4,40.9,21.1,59.0,178.0
Krishnagiri,2020,Kharif,26.1,34.8,20.5,72.7,565.0
Krishnagiri,2020,Rabi,23.9,33.5,14.9,71.9,388.0
Krishnagiri,2020,Summer,28.5,38.5,19.2,57.8,88.0
Krishnagiri,2021,Kharif,26.5,35.9,21.4,68.1,398.0
Krishnagiri,2021,Rabi,22.9,34.1,13.2,78.7,762.0
Krishnagiri,2021,Summer,27.9,39.2,15.5,56.8,116.0
Krishnagiri,2022,Kharif,25.6,34.2,20.7,73.4,594.0
Krishnagiri,2022,Rabi,22.9,32.2,14.2,75.7,475.0
Krishnagiri,2022,Summer,27.0,38.0,15.4,62.0,230.0
Krishnagiri,2023,Kharif,27.1,36.3,20.8,66.9,465.0
Krishnagiri,2023,Rabi,23.6,33.2,12.4,70.2,258.0
Krishnagiri,2023,Summer,27.5,38.0,14.4,58.7,216.0
Krishnagiri,2024,Kharif,26.6,35.2,20.9,69.6,471.0
Krishnagiri,2024,Rabi,24.1,34.1,15.4,73.6,512.0
Krishnagiri,2024,Summer,29.2,41.8,17.4,55.9,184.0
Krishnagiri,2025,Kharif,26.5,34.7,21.0,67.5,374.0
Krishnagiri,2025,Rabi,23.3,33.5,13.8,71.2,354.0
Krishnagiri,2025,Summer,27.0,36.5,16.5,63.9,147.0
Madurai,2020,Kharif,29.9,40.6,23.3,61.3,342.0
Madurai,2020,Rabi,26.8,39.3,19.0,69.7,636.0
Madurai,2020,Summer,31.2,41.9,22.4,57.5,94.0
Madurai,2021,Kharif,30.1,40.3,23.2,58.7,309.0
Madurai,2021,Rabi,25.6,37.4,17.0,77.0,1088.0
Madurai,2021,Summer,30.2,41.7,19.2,59.8,148.0
Madurai,2022,Kharif,28.9,40.0,22.8,65.5,440.0
Madurai,2022,Rabi,26.3,39.5,18.5,71.7,776.0
Madurai,2022,Summer,30.0,41.1,19.6,60.6,253.0
Madurai,2023,Kharif,30.4,41.2,23.9,60.1,386.0
Madurai,2023,Rabi,26.4,37.0,17.0,71.5,618.0
Madurai,2023,Summer,29.9,40.7,20.0,63.0,282.0
Madurai,2024,Kharif,29.9,40.5,23.2,63.2,412.0
Madurai,2024,Rabi,26.9,37.2,19.2,74.1,807.0
Madurai,2024,Summer,31.0,43.5,21.7,60.4,289.0
Madurai,2025,Kharif,30.6,40.5,23.9,55.8,253.0
Madurai,2025,Rabi,26.6,39.6,18.0,70.2,554.0
Madurai,2025,Summer,30.1,40.0,21.2,62.0,230.0
Namakkal,2020,Kharif,28.6,39.0,22.9,69.9,522.0
Namakkal,2020,Rabi,26.6,37.5,17.7,68.4,468.0
Namakkal,2020,Summer,31.7,41.2,21.6,52.5,86.0
Namakkal,2021,Kharif,28.7,39.8,22.5,67.7,422.0
Namakkal,2021,Rabi,25.4,38.7,16.1,76.8,777.0
Namakkal,2021,Summer,30.7,42.3,18.6,54.2,85.0
Namakkal,2022,Kharif,28.1,38.7,22.4,70.7,516.0
Namakkal,2022,Rabi,25.7,37.2,17.6,72.6,649.0
Namakkal,2022,Summer,30.0,41.9,18.7,58.2,228.0
Namakkal,2023,Kharif,29.5,40.0,22.8,65.6,384.0
Namakkal,2023,Rabi,26.3,37.3,16.4,69.0,476.0
Namakkal,2023,Summer,30.0,40.7,16.6,57.6,204.0
Namakkal,2024,Kharif,28.7,38.2,23.3,70.0,472.0
Namakkal,2024,Rabi,26.5,37.8,18.0,73.9,852.0
Namakkal,2024,Summer,31.7,43.4,20.5,54.6,257.0
Namakkal,2025,Kharif,28.8,38.3,22.4,66.8,283.0
Namakkal,2025,Rabi,25.9,37.2,17.1,71.5,451.0
Namakkal,2025,Summer,30.4,40.8,20.2,58.5,186.0
Perambalur,2020,Kharif,29.8,40.2,23.8,64.5,363.0
Perambalur,2020,Rabi,26.1,36.3,18.8,74.5,698.0
Perambalur,2020,Summer,31.1,42.3,21.3,58.6,62.0
Perambalur,2021,Kharif,30.1,39.9,23.5,61.6,365.0
Perambalur,2021,Rabi,25.2,36.2,17.9,80.3,1078.0
Perambalur,2021,Summer,30.5,41.9,19.4,58.9,100.0
Perambalur,2022,Kharif,29.0,39.2,22.9,67.2,447.0
Perambalur,2022,Rabi,25.4,35.3,18.8,76.6,638.0
Perambalur,2022,Summer,30.0,42.2,20.1,61.2,193.0
Perambalur,2023,Kharif,30.4,40.9,24.0,62.0,382.0
Perambalur,2023,Rabi,26.0,38.2,17.0,73.7,565.0
Perambalur,2023,Summer,29.8,40.5,20.4,63.4,275.0
Perambalur,2024,Kharif,30.0,39.9,24.0,64.0,412.0
Perambalur,2024,Rabi,26.2,35.8,19.5,78.0,970.0
Perambalur,2024,Summer,31.1,43.2,21.3,62.0,339.0
Perambalur,2025,Kharif,30.0,39.2,23.5,62.1,296.0
Perambalur,2025,Rabi,25.6,36.7,18.1,76.3,640.0
